genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
unknown,0.218,0.982,6,-5.113,1,0.163,1.59e-06,0.884,0.119,0.0326,110.77,1oS7FkZShntew6cU4YEA7X,257960,4
unknown,0.295,0.764,2,-10.873,1,0.0517,7.7e-06,0.287,0.153,0.784,163.986,79omrqnED14hzA6WJdBlqD,221627,4
black metal,0.282,0.964,7,-6.182,1,0.165,0.000566,0.825,0.209,0.172,125.012,5iqwAknoGo2zMb3ZVS7bKX,189437,4
swedish death metal,0.498,0.991,1,-3.036,0,0.187,2.53e-06,0.24,0.353,0.0597,105.019,2yE02Z2Rrqwcm7mYxkoisD,316533,4
brutal death metal,0.623,0.891,2,-4.399,1,0.0354,0.00327,0.0753,0.161,0.463,103.003,37FsYu2IljCr3zInII1sBr,260320,4
brutal death metal,0.394,0.961,9,-6.849,1,0.0931,0.000221,0.0106,0.368,0.106,155.03,4vIKoOznt2p6YhGSHzrksC,296453,4
death metal,0.271,0.966,0,-8.293,1,0.0917,2.32e-05,0.0145,0.115,0.211,134.787,2nyEHQxNRgpZ99Zw9mPhPm,231240,4
black metal,0.558,0.943,1,-4.81,0,0.0535,0.00191,4.38e-05,0.248,0.56,111.994,0XT70Wk9pP8JZkmJhfntuL,257347,4
black thrash,0.46,0.931,4,-3.589,0,0.109,8.84e-06,0.0112,0.422,0.217,124.912,5cqQP0FlytyZm0RMqwovdb,89053,1
brutal death metal,0.18,0.95,2,-10.4,1,0.145,6.42e-05,0.89,0.0925,0.0497,91.931,6TcmQyIW7I9f5lDhVRheQK,326600,4
death 'n' roll,0.34,0.943,1,-7.111,1,0.0521,0.00013,0.7,0.18,0.675,103.275,4w057gecOTjwAwiRYnlKB0,139400,4
unknown,0.329,0.965,7,-4.086,1,0.142,0.000115,0.00778,0.0742,0.198,95.201,0GILd3eTcEsjzSTyDX2XXi,506813,4
alternative metal,0.243,0.934,1,-11.273,1,0.0852,0.000243,0.625,0.633,0.0661,158.532,79jFIK21LdonG8lXPp2J5W,147400,4
alternative metal,0.241,0.747,1,-10.112,1,0.0628,0.00313,0.855,0.115,0.0781,127.632,1onKv4Xa042zqL5woKdbNT,337093,4
black metal,0.234,0.908,6,-10.043,1,0.0618,0.000268,0.626,0.0633,0.215,138.822,5Q3nmz4DdpdbT6FCBzX5a9,332493,5
unknown,0.337,0.863,7,-12.082,1,0.111,0.0002,0.504,0.0897,0.265,110.208,4CKVXOokIZaxIac13dyyDn,234533,4
finnish death metal,0.272,0.974,6,-4.72,1,0.145,4.24e-05,0.789,0.407,0.174,106.272,3SwBNH1SahS24oC5OQM9ub,164720,3
brutal death metal,0.23,0.938,9,-7.574,1,0.131,1.02e-05,0.825,0.058,0.0562,143.522,1M0tEMb3d4eJNnkSmPxIjn,285827,4
portland metal,0.222,0.981,9,-4.921,1,0.135,1.96e-06,0.465,0.056,0.2,125.689,3ATVw98mBFmETv7VgedJTe,304493,4
