danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.456,0.511,7,-8.685,1,0.0304,0.355,0.000468,0.221,0.179,80.082,216436,3
0.633,0.535,7,-6.577,0,0.189,0.0878,1.34e-05,0.0999,0.718,170.013,192800,4
0.526,0.459,0,-8.784,0,0.164,0.464,0.0,0.229,0.342,139.387,168075,4
0.822,0.32,8,-8.184,1,0.139,0.425,0.000101,0.121,0.311,119.983,208038,4
0.477,0.722,5,-6.726,0,0.202,0.208,0.0,0.135,0.525,177.158,263120,1
0.549,0.748,5,-5.808,0,0.047,0.0492,2.96e-05,0.364,0.353,77.418,147097,4
0.548,0.598,11,-8.386,0,0.25,0.347,3.63e-05,0.155,0.36,136.618,225533,4
0.788,0.528,11,-6.688,1,0.0729,0.279,0.00257,0.103,0.464,107.941,173913,4
0.606,0.729,7,-4.473,0,0.0619,0.24,1.73e-06,0.423,0.527,80.052,170027,4
0.564,0.384,4,-10.007,0,0.134,0.753,0.0,0.105,0.764,97.766,201017,4
0.468,0.38,1,-6.326,1,0.0309,0.689,5.98e-05,0.114,0.406,129.897,258024,3
0.776,0.537,10,-5.459,0,0.0406,0.531,0.0316,0.111,0.586,82.02,219999,4
0.595,0.698,11,-6.513,0,0.328,0.526,0.0,0.212,0.622,156.072,261551,4
0.539,0.47,2,-8.582,0,0.0652,0.299,0.0,0.124,0.384,129.676,223845,4
0.762,0.48,10,-6.595,0,0.0471,0.611,0.0,0.0907,0.598,127.95,195000,4
0.571,0.212,5,-16.206,1,0.044,0.56,0.28,0.0742,0.39,94.164,260220,4
0.595,0.267,0,-10.23,1,0.0308,0.836,0.0,0.158,0.229,105.205,186540,4
0.455,0.549,1,-10.255,1,0.0616,0.518,0.0657,0.261,0.219,152.02,292940,4
0.574,0.176,8,-10.924,0,0.213,0.928,0.437,0.119,0.497,78.929,236236,4
0.292,0.604,5,-4.447,0,0.0764,0.3,0.0,0.615,0.625,173.233,155355,4
0.895,0.58,1,-7.373,0,0.199,0.713,0.000589,0.0934,0.368,122.55,160581,4
0.693,0.503,10,-3.647,1,0.0279,0.0155,0.00153,0.133,0.426,76.119,189202,3
0.462,0.331,9,-8.794,0,0.0432,0.911,0.0,0.15,0.604,141.364,190465,3
0.716,0.36,6,-11.168,0,0.403,0.432,0.0,0.1,0.147,96.875,158351,4
0.626,0.309,1,-10.397,1,0.0433,0.85,1.31e-05,0.117,0.369,117.94,184090,4
0.291,0.376,7,-11.91,1,0.0502,0.0354,2.04e-05,0.11,0.174,178.399,182073,4
0.836,0.598,8,-5.829,1,0.448,0.242,2.89e-06,0.101,0.908,159.997,207000,4
0.61,0.599,1,-5.752,1,0.341,0.183,0.000124,0.0854,0.805,154.255,190393,5
0.54,0.649,5,-6.802,0,0.363,0.0253,0.0,0.0687,0.409,93.353,127616,4
0.806,0.342,9,-7.503,1,0.075,0.201,0.0176,0.0758,0.937,92.985,82581,4
0.78,0.42,6,-9.218,0,0.1,0.0314,1.48e-05,0.118,0.0952,99.024,146792,4
0.777,0.631,8,-5.649,0,0.0612,0.183,4.4e-06,0.119,0.337,96.015,199513,4
0.653,0.517,0,-6.27,0,0.0487,0.368,2.03e-06,0.105,0.514,93.052,190498,4
0.624,0.524,2,-7.034,1,0.0434,0.323,0.0,0.0732,0.546,130.078,300921,4
0.735,0.328,5,-9.584,0,0.0681,0.373,0.000307,0.186,0.323,140.077,171218,4
0.775,0.662,10,-7.755,1,0.0408,0.117,0.0648,0.0928,0.257,112.014,192936,4
0.773,0.685,5,-7.529,0,0.309,0.064,6.85e-06,0.113,0.576,95.043,237852,4
0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,247469,4
0.675,0.546,4,-7.716,0,0.0511,0.556,0.00441,0.167,0.607,77.415,184258,4
0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,200256,4
0.774,0.609,6,-7.077,1,0.126,0.101,0.0,0.117,0.797,100.008,231109,4
0.494,0.849,0,-6.438,0,0.343,0.0748,0.00152,0.791,0.512,181.428,262941,5
0.805,0.691,7,-5.175,1,0.215,0.095,1.17e-05,0.234,0.455,96.016,168125,4
0.844,0.598,8,-7.95,0,0.0616,0.00362,0.00214,0.0869,0.393,98.022,172768,4
0.776,0.701,9,-5.223,1,0.0254,0.513,0.0,0.0902,0.603,112.032,265045,3
0.475,0.666,11,-4.962,0,0.0312,0.644,1.2e-05,0.0988,0.765,159.744,185208,4
0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,165848,4
0.791,0.892,0,-2.58,1,0.0521,0.0509,0.000355,0.0609,0.916,97.008,150619,4
0.823,0.882,3,-3.513,0,0.0556,0.688,1.7e-06,0.107,0.963,128.044,172096,4
0.711,0.718,1,-5.671,1,0.0994,0.379,0.0,0.119,0.689,159.953,173991,4
0.852,0.881,5,-2.546,0,0.126,0.0602,6.44e-06,0.0682,0.556,96.984,219333,4
0.793,0.476,5,-10.515,0,0.0406,0.132,0.0,0.115,0.578,129.992,194769,4
0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,156346,4
0.801,0.517,2,-8.205,0,0.269,0.494,1.45e-06,0.355,0.923,160.254,133969,4
0.573,0.551,0,-7.535,1,0.0335,0.0502,0.0,0.124,0.19,129.932,235698,4
0.715,0.642,10,-7.492,0,0.0515,0.0687,0.0,0.0997,0.169,105.964,191321,4
0.882,0.934,8,-1.479,0,0.0501,0.292,0.0024,0.0549,0.611,130.032,171761,4
0.627,0.828,9,-3.586,0,0.124,0.222,0.0,0.109,0.712,176.08,215470,4
0.813,0.866,7,-3.239,1,0.0851,0.17,0.0,0.0421,0.647,99.994,235200,4
0.503,0.549,1,-7.748,0,0.314,0.486,0.0,0.118,0.627,85.701,340000,4
0.739,0.579,7,-8.361,0,0.0509,0.0622,0.0,0.454,0.694,130.002,188000,3
0.833,0.754,1,-5.215,0,0.288,0.0813,0.0,0.161,0.652,107.024,166046,4
0.724,0.578,10,-7.117,1,0.0819,0.632,1.06e-06,0.0943,0.757,167.985,211879,4
0.742,0.931,1,-1.742,1,0.0719,0.0251,0.0,0.0475,0.923,116.003,169843,4
0.728,0.589,7,-7.115,1,0.0376,0.424,7.78e-06,0.166,0.767,77.475,179013,4
0.785,0.875,8,-4.428,1,0.109,0.0402,0.0,0.08,0.265,101.998,197367,4
0.786,0.803,6,-5.232,0,0.072,0.135,4.11e-06,0.11,0.722,112.007,228187,4
0.831,0.759,1,-3.627,0,0.0502,0.277,0.0,0.125,0.244,107.961,231693,4
0.833,0.809,5,-2.751,0,0.0381,0.0836,0.0,0.112,0.905,128.055,140625,4
0.634,0.725,0,-4.88,0,0.0577,0.0754,0.0,0.208,0.845,159.898,154375,4
0.843,0.794,1,-4.686,0,0.0426,0.226,1.22e-06,0.25,0.796,92.998,275040,4
